paper,study,outcome,outcome_expectation,time_1,effect,label,effect_size_value,effect_size_lower,effect_size_upper,effect_size_var,condition_1,condition_2,time_2,max_time,cluster,group_1,group_2,yi,yi_lower,yi_upper
1,1,1,decrease,2,1,Allen & Baines (2002) - 1,-1.3467691705642,-2.94152606956995,0.247987728441543,0.662053059953635,1,2,2,2,1 - 1,1 - 2,2 - 2,-1.3467691705642,-2.94152606956995,0.247987728441543
1,1,2,decrease,2,2,Allen & Baines (2002) - 2,-0.401844480450433,-1.67024617123826,0.866557210337396,0.418810385400075,1,2,2,2,1 - 1,1 - 2,2 - 2,-0.401844480450433,-1.67024617123826,0.866557210337396
2,1,1,decrease,3,2,Amiot et al. (2018) - 2,-0.414563594460866,-1.11491925301953,0.285792064097795,0.127685358966442,1,2,3,3,2 - 1,1 - 3,2 - 3,-0.414563594460866,-1.11491925301953,0.285792064097795
3,1,1,decrease,2,1,Anderson (2017) - 1,-0.226425950440558,-0.338979090988545,-0.113872809892571,0.00329776005380316,1,2,2,2,3 - 1,1 - 2,2 - 2,-0.226425950440558,-0.338979090988545,-0.113872809892571
3,1,1,decrease,2,2,Anderson (2017) - 2,-0.136258884713999,-0.249937848586717,-0.0225799208412813,0.00336406230819355,1,3,2,2,3 - 1,1 - 2,3 - 2,-0.136258884713999,-0.249937848586717,-0.0225799208412813
4,3,1,decrease,1,1,Anderson & Feldman Barrett (2016) - 1,0.0695726309013681,-0.115850529569284,0.254995791372021,0.00895018013826133,1,2,2,1,4 - 3,1 - 1,2 - 2,0.0695726309013681,-0.115850529569284,0.254995791372021
4,3,1,decrease,1,2,Anderson & Feldman Barrett (2016) - 2,-0.758123480406877,-0.967323396994699,-0.548923563819055,0.0113927044758595,1,3,2,1,4 - 3,1 - 1,3 - 2,-0.758123480406877,-0.967323396994699,-0.548923563819055
5,1,1,increase,2,1,Bertolaso (2015) - 1,0.2608618200756,-0.00887007149027336,0.530593711641474,0.0189394958331371,1,2,2,2,5 - 1,1 - 2,2 - 2,-0.2608618200756,-0.530593711641474,0.00887007149027336
5,1,1,increase,2,2,Bertolaso (2015) - 2,-0.0197302751768648,-0.287076539738967,0.247615989385237,0.018605958962849,1,3,2,2,5 - 1,1 - 2,3 - 2,0.0197302751768648,-0.247615989385237,0.287076539738967
5,1,1,increase,2,3,Bertolaso (2015) - 3,0.041341093455145,-0.237357610211566,0.320039797121856,0.0202196537958646,1,4,2,2,5 - 1,1 - 2,4 - 2,-0.041341093455145,-0.320039797121856,0.237357610211566
5,1,1,increase,2,4,Bertolaso (2015) - 4,0.154705153390294,-0.119747553364834,0.429157860145422,0.019608250865385,1,5,2,2,5 - 1,1 - 2,5 - 2,-0.154705153390294,-0.429157860145422,0.119747553364834
5,1,2,decrease,2,5,Bertolaso (2015) - 5,-0.314665445289022,-0.584914450061344,-0.0444164405166995,0.0190121846906155,1,2,2,2,5 - 1,1 - 2,2 - 2,-0.314665445289022,-0.584914450061344,-0.0444164405166995
5,1,2,decrease,2,6,Bertolaso (2015) - 6,-0.252086059233745,-0.5204854928108,0.0163133743433106,0.018752838259364,1,3,2,2,5 - 1,1 - 2,3 - 2,-0.252086059233745,-0.5204854928108,0.0163133743433106
5,1,2,decrease,2,7,Bertolaso (2015) - 7,-0.342124561406763,-0.622813391930878,-0.0614357308826472,0.0205094531162407,1,4,2,2,5 - 1,1 - 2,4 - 2,-0.342124561406763,-0.622813391930878,-0.0614357308826472
5,1,2,decrease,2,8,Bertolaso (2015) - 8,-0.136117003337663,-0.410477420761885,0.13824341408656,0.0195950658754145,1,5,2,2,5 - 1,1 - 2,5 - 2,-0.136117003337663,-0.410477420761885,0.13824341408656
7,1,1,decrease,3,3,Byrd-Bredbenner et al. (2010) - 3,-0.564156806934245,-1.0389382098962,-0.0893754039722899,0.058680150203404,1,2,3,3,7 - 1,1 - 3,2 - 3,-0.564156806934245,-1.0389382098962,-0.0893754039722899
7,1,2,increase,3,4,Byrd-Bredbenner et al. (2010) - 4,0.421759710393802,-0.0490050203614213,0.892524441149025,0.0576914766153845,1,2,3,3,7 - 1,1 - 3,2 - 3,-0.421759710393802,-0.892524441149025,0.0490050203614213
9,2,1,increase,2,1,Carfora et al. (2017a) - 1,0.404161970897056,0.141881893132207,0.666442048661905,0.0179074779669004,1,2,2,2,9 - 2,1 - 2,2 - 2,-0.404161970897056,-0.666442048661905,-0.141881893132207
9,2,2,increase,2,2,Carfora et al. (2017a) - 2,-0.00781198829843097,-0.267456510472468,0.251832533875607,0.0175493949152376,1,2,2,2,9 - 2,1 - 2,2 - 2,0.00781198829843097,-0.251832533875607,0.267456510472468
9,2,3,increase,2,3,Carfora et al. (2017a) - 3,0.634026080986165,0.367941092787294,0.900111069185036,0.0184308160648199,1,2,2,2,9 - 2,1 - 2,2 - 2,-0.634026080986165,-0.900111069185036,-0.367941092787294
9,2,4,decrease,2,4,Carfora et al. (2017a) - 4,-0.722921868207742,-0.990909578368757,-0.454934158046727,0.0186953488634214,1,2,2,2,9 - 2,1 - 2,2 - 2,-0.722921868207742,-0.990909578368757,-0.454934158046727
10,1,1,increase,2,1,Carfora et al. (2017b) - 1,0.511209670252516,0.134751895228734,0.887667445276298,0.0368923533977253,1,2,2,2,10 - 1,1 - 2,2 - 2,-0.511209670252516,-0.887667445276298,-0.134751895228734
10,1,2,increase,2,2,Carfora et al. (2017b) - 2,-0.0390239367987866,-0.409516630990207,0.331468757392634,0.0357324763472056,1,2,2,2,10 - 1,1 - 2,2 - 2,0.0390239367987866,-0.331468757392634,0.409516630990207
10,1,3,increase,2,3,Carfora et al. (2017b) - 3,0.617928847007823,0.238736325985161,0.997121368030486,0.0374303030986393,1,2,2,2,10 - 1,1 - 2,2 - 2,-0.617928847007823,-0.997121368030486,-0.238736325985161
10,1,4,decrease,2,4,Carfora et al. (2017b) - 4,-0.67966334366442,-1.06066300095348,-0.298663686375356,0.037787920066303,1,2,2,2,10 - 1,1 - 2,2 - 2,-0.67966334366442,-1.06066300095348,-0.298663686375356
11,1,1,decrease,2,1,Cooney (2014) - 1,0.0767177768872539,-0.286911804981691,0.440347358756199,0.034420900752046,1,2,2,2,11 - 1,1 - 2,2 - 2,0.0767177768872539,-0.286911804981691,0.440347358756199
11,1,1,decrease,2,2,Cooney (2014) - 2,0.15303697072142,-0.230245067930877,0.536319009373717,0.0382420137792642,1,3,2,2,11 - 1,1 - 2,3 - 2,0.15303697072142,-0.230245067930877,0.536319009373717
11,1,1,decrease,2,3,Cooney (2014) - 3,0.327817136969173,-0.081404803769357,0.737039077707702,0.0435934900251122,1,4,2,2,11 - 1,1 - 2,4 - 2,0.327817136969173,-0.081404803769357,0.737039077707702
11,1,1,decrease,2,4,Cooney (2014) - 4,0.283646216307645,-0.0790717447413619,0.646364177356652,0.0342485304173523,1,5,2,2,11 - 1,1 - 2,5 - 2,0.283646216307645,-0.0790717447413619,0.646364177356652
11,1,1,decrease,2,5,Cooney (2014) - 5,0.160589745943614,-0.221415010659593,0.542594502546821,0.0379875565192464,1,6,2,2,11 - 1,1 - 2,6 - 2,0.160589745943614,-0.221415010659593,0.542594502546821
